    621.39      241.68        0.71       29.29        0.04        0.03     1597.26
   1380.29      294.97        0.67       33.63        0.02        0.02     3548.00
   2445.64      351.77        0.71       36.14        0.01        0.01     6286.47
    228.57      510.99        1.50       28.60        0.20        0.19      587.53
   2027.37      609.54        0.77       31.11        0.01        0.01     5211.30
    226.44      768.77        0.90       14.60        0.07        0.06      582.05
     66.25      786.12        0.74       16.25        0.20        0.17      170.30
     87.29      911.80        0.91       13.85        0.15        0.15      224.38
    130.02      934.70        1.00       16.60        0.13        0.15      334.22
    609.45     1121.13        0.99       18.97        0.03        0.03     1566.59
    276.26     1239.16        1.13       16.99        0.08        0.07      710.12
    172.47     1378.70        1.04       12.74        0.09        0.08      443.33
   1671.32     1462.07        1.09       28.08        0.02        0.02     4296.10
     97.41     1510.43        1.18        9.98        0.13        0.12      250.39
     57.17     1662.68        1.27        7.53        0.19        0.16      146.95
    151.89     1731.04        1.24        9.02        0.08        0.07      390.44
    662.41     1766.06        1.14       17.21        0.03        0.02     1702.71
    107.50     1849.01        1.13        8.20        0.09        0.09      276.34
     45.80     2105.67        1.71        7.84        0.33        0.23      117.72
     52.08     2120.49        1.29        6.05        0.17        0.16      133.86
    208.01     2206.15        1.33       10.06        0.07        0.05      534.67
     43.79     2450.24        1.16        5.21        0.16        0.12      112.55
    397.15     2617.08        1.49       15.25        0.06        0.05     1020.87
